_id: 64ae4f7a4d530437ed6005f7, name: 산청군실내수영장
_id: 64ae4f7a4d530437ed6005f8, name: 웰리브스포츠플라자
_id: 64ae4f7a4d530437ed6005fa, name: 케이아쿠아스포츠센터
_id: 64ae4f7a4d530437ed6005fb, name: 신세계 실내수영장
_id: 64ae4f7a4d530437ed6005fd, name: 삼전수영장
_id: 64ae4f7a4d530437ed600607, name: 제이원 스파랜드 구미점
_id: 64ae4f7a4d530437ed60060a, name: 포항공과대학교 POSPLEX
_id: 64ae4f7a4d530437ed60060d, name: 홈스파월드
_id: 64ae4f7a4d530437ed600613, name: 그린스포츠센터
_id: 64ae4f7a4d530437ed60061a, name: 월드드림랜드
_id: 64ae4f7a4d530437ed60061e, name: 기아수영장
_id: 643eae5e077163fc3655cf65, name: 남구 청소년수련관
_id: 643eae5e077163fc3655cf67, name: 서구청소년수련관
_id: 643eae5e077163fc3655cf68, name: 광주 동구문화센터
_id: 643eae5e077163fc3655cf7a, name: 팔마 수영장
_id: 643eae5e077163fc3655cf7c, name: 문화건강센터 수영장
_id: 643eae5e077163fc3655cf87, name: 고창청소년수련관
_id: 643eae5e077163fc3655cf8c, name: 군산월명체육관
_id: 643eae5e077163fc3655cf91, name: 이서 문화체육센터수영장
_id: 643eae5e077163fc3655cf9a, name: 전라북도국민체육센터
_id: 643eae5e077163fc3655cfa1, name: 제주국민체육센터
_id: 645f25de3b0b92b6522cc3fe, name: 아르피나
_id: 645f25de3b0b92b6522cc407, name: 서울스포렉스
_id: 64ae4f7a4d530437ed600583, name: 일산산들수영장
_id: 64ae4f7a4d530437ed600589, name: 광명사회체육센터
_id: 64ae4f7a4d530437ed60059d, name: 휘트니스센터PG 뉴코아아울렛 동수원점
_id: 64ae4f7a4d530437ed60059f, name: 영통종합사회복지관
_id: 64ae4f7a4d530437ed6005a8, name: 평택 스포피아 실내수영장
_id: 64ae4f7a4d530437ed6005aa, name: 하나로휘트니스힐링교육센터 (경인교대 수영장)
_id: 64ae4f7a4d530437ed6005ab, name: 에이스스포츠센터
_id: 64ae4f7a4d530437ed6005ae, name: 린스트라우스스포츠센터
_id: 64ae4f7a4d530437ed6005b3, name: 인천대학교 송도캠퍼스스포츠센터
_id: 64ae4f7a4d530437ed6005b6, name: 파라다이스시티 씨메르
_id: 64ae4f7a4d530437ed6005b8, name: 강릉수영장
_id: 64ae4f7a4d530437ed6005be, name: 강원대학교 춘천캠퍼스 백령스포츠센터
_id: 64ae4f7a4d530437ed6005c9, name: 사이언스전민스포츠센터
_id: 64ae4f7a4d530437ed6005ca, name: 천마하이파이브수영장
_id: 64ae4f7a4d530437ed6005cc, name: 충남체육고등학교 수영장
_id: 64ae4f7a4d530437ed6005ce, name: 현대제철 문화센터
_id: 64ae4f7a4d530437ed6005da, name: 정관아쿠아드림파크
_id: 64ae4f7a4d530437ed6005db, name: 성성파인트리수영장
_id: 64ae4f7a4d530437ed6005dd, name: 용호레포츠
_id: 64ae4f7a4d530437ed6005e6, name: 휘폴수영장
_id: 64ae4f7a4d530437ed6005e8, name: 홍익스포츠수영장
_id: 64ae4f7a4d530437ed6005f9, name: 종합스포츠센터 수영장
_id: 64ae4f7a4d530437ed600617, name: 덕원수영장
