_id: 64ae4f7a4d530437ed6005a4, name: 뉴스포츠센터
_id: 64ae4f7a4d530437ed6005b2, name: 이충문화체육센터 수영장
_id: 64ae4f7a4d530437ed6005ba, name: 동남스포피아
_id: 64ae4f7a4d530437ed6005c4, name: 기성종합복지관
_id: 64ae4f7a4d530437ed6005d4, name: 천안 조이풀수영장
_id: 64ae4f7a4d530437ed6005d8, name: 용곡C&C수영장
_id: 64ae4f7a4d530437ed6005dc, name: 센츄리스포렉스 수영장
_id: 64ae4f7a4d530437ed6005e1, name: 부산시민스포츠센터
_id: 64ae4f7a4d530437ed6005e2, name: 대영스포렉스
_id: 64ae4f7a4d530437ed6005ec, name: 유심천건강랜드
_id: 64ae4f7a4d530437ed6005ee, name: 한빛스포츠센터
_id: 64ae4f7a4d530437ed6005f7, name: 산청군실내수영장
_id: 64ae4f7a4d530437ed6005f8, name: 웰리브스포츠플라자
_id: 64ae4f7a4d530437ed6005fa, name: 케이아쿠아스포츠센터
_id: 64ae4f7a4d530437ed6005fb, name: 신세계 실내수영장
_id: 64ae4f7a4d530437ed6005fd, name: 삼전수영장
_id: 64ae4f7a4d530437ed600607, name: 제이원 스파랜드 구미점
_id: 64ae4f7a4d530437ed60060d, name: 홈스파월드
_id: 64ae4f7a4d530437ed600613, name: 그린스포츠센터
_id: 64ae4f7a4d530437ed60061a, name: 월드드림랜드
_id: 64ae4f7a4d530437ed60061e, name: 기아수영장
_id: 64ae4f7a4d530437ed600622, name: 정읍 학생복지회관 수영장
_id: 643eae5e077163fc3655cf65, name: 남구 청소년수련관
_id: 643eae5e077163fc3655cf67, name: 서구청소년수련관
_id: 643eae5e077163fc3655cf7a, name: 팔마 수영장
_id: 643eae5e077163fc3655cf7c, name: 문화건강센터 수영장
_id: 643eae5e077163fc3655cf91, name: 이서 문화체육센터수영장
_id: 643eae5e077163fc3655cfa1, name: 제주국민체육센터
_id: 645f25de3b0b92b6522cc406, name: 일광 하이리페움
_id: 645f25de3b0b92b6522cc407, name: 서울스포렉스
_id: 64ae4f7a4d530437ed600589, name: 광명사회체육센터
_id: 64ae4f7a4d530437ed60059f, name: 영통종합사회복지관
_id: 64ae4f7a4d530437ed6005a8, name: 평택 스포피아 실내수영장
_id: 64ae4f7a4d530437ed6005aa, name: 하나로휘트니스힐링교육센터 (경인교대 수영장)
_id: 64ae4f7a4d530437ed6005ae, name: 린스트라우스스포츠센터
_id: 64ae4f7a4d530437ed6005b3, name: 인천대학교 송도캠퍼스스포츠센터
_id: 64ae4f7a4d530437ed6005b8, name: 강릉수영장
_id: 64ae4f7a4d530437ed6005bb, name: 원주국민체육센터
_id: 64ae4f7a4d530437ed6005ce, name: 현대제철 문화센터
_id: 64ae4f7a4d530437ed6005db, name: 성성파인트리수영장
_id: 64ae4f7a4d530437ed6005dd, name: 용호레포츠
_id: 64ae4f7a4d530437ed6005e8, name: 홍익스포츠수영장
_id: 64ae4f7a4d530437ed6005f9, name: 종합스포츠센터 수영장
_id: 64ae4f7a4d530437ed600601, name: GNU 스포츠콤플렉스
_id: 64ae4f7a4d530437ed600611, name: 우주스포츠센터
_id: 64ae4f7a4d530437ed60061b, name: 세븐스포츠센터
_id: 63f330e387980732804893c8, name: 서대문문화체육회관
_id: 63f330e387980732804893ca, name: 서부재활체육센터
_id: 63f330e387980732804893cf, name: 일흥스포타운
_id: 63f330e387980732804893d0, name: 한전아트센터스포츠클럽
_id: 63f330e387980732804893d1, name: 시립동대문청소년센터
_id: 63f330e387980732804893d2, name: 동영휘트니스클럽
_id: 63f330e387980732804893d9, name: 서울여성플라자스포츠센터
_id: 63f330e387980732804893e4, name: 은평통일로스포츠센터
_id: 63f330e387980732804893ef, name: 서초종합체육관
_id: 63f330e38798073280489418, name: 성동청소년수련관
_id: 63f330e38798073280489421, name: 로얄스포츠센터
_id: 63f330e38798073280489429, name: 불광스포렉스
_id: 63f330e3879807328048943b, name: 수서청소년센터
_id: 63f330e38798073280489441, name: 시립성북청소년센터
_id: 63f330e3879807328048944b, name: 방배열린문화센터
_id: 63f330e3879807328048944c, name: 언남문화체육센터
_id: 63f330e38798073280489450, name: 로제우스
_id: 63f330e38798073280489452, name: 신사스포츠센터
_id: 63f330e38798073280489457, name: 신월문화체육센터
_id: 63f330e38798073280489466, name: 도봉실내스포츠센터
_id: 63f330e38798073280489467, name: 슈버빌 스포츠 클럽
_id: 643eae5e077163fc3655ce38, name: 풍무국민체육센터
_id: 643eae5e077163fc3655ce40, name: 탄천종합운동장 수영장
_id: 643eae5e077163fc3655ce45, name: 분당야탑청소년수련관
_id: 643eae5e077163fc3655ce4d, name: 서수원주민편익시설
_id: 643eae5e077163fc3655ce56, name: 안산호수공원 실내수영장
_id: 643eae5e077163fc3655ce5b, name: 호계복합청사 수영장
_id: 643eae5e077163fc3655ce61, name: 시흥시국민체육센터
_id: 643eae5e077163fc3655ce64, name: 여주시노인복지관
_id: 643eae5e077163fc3655ce6c, name: 용인시 평생학습관
_id: 643eae5e077163fc3655ce73, name: 원동초스포츠센터
_id: 643eae5e077163fc3655ce77, name: 마리나 수영장
_id: 643eae5e077163fc3655ce79, name: 코오롱스포렉스 파주낙하점
_id: 63f330e387980732804893be, name: 마곡레포츠센터
_id: 63f330e387980732804893d6, name: 평화스포웰빙 휘트니스클럽
_id: 63f330e387980732804893d7, name: 서초구민체육센터
_id: 63f330e387980732804893f0, name: 마장국민체육센터
_id: 63f330e387980732804893f1, name: 동작구민체육센터
_id: 63f330e387980732804893f3, name: 신길종합사회복지관
_id: 63f330e387980732804893f7, name: 창동문화체육센터
_id: 63f330e38798073280489405, name: 광진구민체육센터
_id: 63f330e38798073280489406, name: 광진문화예술회관
_id: 63f330e38798073280489412, name: 종로구민회관
_id: 63f330e38798073280489416, name: 고덕사회체육센터
_id: 63f330e3879807328048941e, name: 창천교육문화관
_id: 63f330e3879807328048941f, name: 50플러스
_id: 63f330e38798073280489422, name: 갈월종합사회복지관
_id: 63f330e38798073280489423, name: 시그마 스포츠클럽
_id: 63f330e38798073280489424, name: 시립마포청소년센터
_id: 63f330e38798073280489431, name: 성동구립 용답체육센터
_id: 63f330e38798073280489432, name: 서울숲복합문화체육센터
_id: 63f330e38798073280489435, name: 흑석체육센터
_id: 63f330e38798073280489436, name: 역삼청소년수련관
_id: 63f330e38798073280489448, name: 신림체육센터
_id: 63f330e38798073280489451, name: 마포푸르메스포츠센터
_id: 63f330e38798073280489455, name: 시립목동청소년센터
_id: 63f330e38798073280489460, name: 헬스보이짐
_id: 63f330e3879807328048946a, name: 강서구민올림픽체육센터
_id: 643eae5e077163fc3655ce30, name: 군포국민체육센터
_id: 643eae5e077163fc3655ce37, name: 호평체육문화센터
_id: 643eae5e077163fc3655ce3c, name: 화도체육문화센터
_id: 643eae5e077163fc3655ce46, name: 분당올림픽스포츠센터 수영장
_id: 643eae5e077163fc3655ce60, name: 서부권스포츠센터
_id: 643eae5e077163fc3655ce6a, name: 세교복지타운 수영장
_id: 643eae5e077163fc3655cea0, name: 열우물경기장
_id: 643eae5e077163fc3655cea5, name: 광산근로자복지센터수영장
_id: 643eae5e077163fc3655ceb9, name: 용운 국제수영장
_id: 643eae5e077163fc3655cebc, name: 대전 동구국민체육센터
_id: 643eae5e077163fc3655cebd, name: 평송 청소년수련원
_id: 643eae5e077163fc3655cece, name: 대전 시립 산성종합복지관
_id: 643eae5e077163fc3655ced6, name: 계룡스포츠센터
_id: 643eae5e077163fc3655ceda, name: 당진교육문화스포츠센터
_id: 643eae5e077163fc3655cef8, name: 강서체육공원
_id: 643eae5e077163fc3655cf06, name: 사하구국민체육센터
_id: 643eae5e077163fc3655cf19, name: 거제시문화예술회관
_id: 643eae5e077163fc3655cf35, name: 하동국민체육센터
_id: 643eae5e077163fc3655cf59, name: 달서아트센터 수영장
_id: 643eae5e077163fc3655cf5c, name: 달서구 청소년수련관
_id: 643eae5e077163fc3655cf61, name: 달성국민체육센터수영장
_id: 643eae5e077163fc3655cf63, name: 성서국민체육센터
_id: 643eae5e077163fc3655cf6a, name: 빛고을국민체육센터
_id: 643eae5e077163fc3655ce80, name: 코오롱스포렉스 주내점
_id: 643eae5e077163fc3655ce93, name: 동구문화체육센터
_id: 643eae5e077163fc3655ce98, name: 인천 여성문화회관 수영장
_id: 643eae5e077163fc3655ce99, name: 검단복지회관
_id: 643eae5e077163fc3655cea3, name: 중구국민체육센터
_id: 643eae5e077163fc3655cec2, name: 남선공원
_id: 643eae5e077163fc3655cee7, name: 단양 청소년수련관 수영장
_id: 643eae5e077163fc3655cf05, name: 부산 사직종합운동장 실내수영장
_id: 643eae5e077163fc3655cf09, name: 부산서구스포츠클럽
_id: 643eae5e077163fc3655cf1f, name: 밀양스포츠센터
_id: 643eae5e077163fc3655cf25, name: 웅상문화체육센터
_id: 643eae5e077163fc3655cf2f, name: 의창스포츠센터
_id: 643eae5e077163fc3655cf3e, name: 구미 근로자종합복지회관
_id: 643eae5e077163fc3655cf47, name: 성주국민체육센터
